image,f1_mic,f2_mic,f3_mic,f4_mic,f5_mic,f6_mic,f7_mic,f8_mic,f9_mic,f10_mic,f11_mic,f12_mic,f13_mic,f14_mic,f15_mic,f16_mic,f1_mac,f2_mac,f3_mac,f4_mac,f5_mac,f6_mac,f7_mac,f8_mac,f9_mac,f10_mac,f11_mac,f12_mac,f13_mac,f14_mac,f15_mac,f16_mac,label
image31.png,1.758449791005898,1.6333989065075043,1.595586866604797,1.4651713914848392,1.7235683542719666,1.4318756937757262,1.459786311829213,1.3958086904787979,1.5128347803517828,1.6238091138113118,1.554909898758666,1.7500768779696023,1.4256228060940774,1.6961720447507622,1.387528984887802,1.3945569423668185,166.0,217.0,261.0,277.0,193.0,278.0,289.0,258.0,272.0,211.0,285.0,207.0,242.0,196.0,243.0,242.0,123.0
image32.png,1.758449791005898,1.6333989065075043,1.595586866604797,1.4651713914848392,1.7235683542719666,1.4318756937757262,1.459786311829213,1.3958086904787979,1.5128347803517828,1.6238091138113118,1.554909898758666,1.7500768779696023,1.4256228060940774,1.6961720447507622,1.387528984887802,1.3945569423668185,166.0,217.0,261.0,277.0,193.0,278.0,289.0,258.0,272.0,211.0,285.0,207.0,242.0,196.0,243.0,242.0,125.0
image33.png,1.758449791005898,1.6333989065075043,1.595586866604797,1.4651713914848392,1.7235683542719666,1.4318756937757262,1.459786311829213,1.3958086904787979,1.5128347803517828,1.6238091138113118,1.554909898758666,1.7500768779696023,1.4256228060940774,1.6961720447507622,1.387528984887802,1.3945569423668185,166.0,217.0,261.0,277.0,193.0,278.0,289.0,258.0,272.0,211.0,285.0,207.0,242.0,196.0,243.0,242.0,125.0
image34.png,1.7129749497174995,1.581208799633105,1.5830752008153535,1.5045971170158774,1.622118450856553,1.5002836051165955,1.3828436243889362,1.4841695871816751,1.4917566554791237,1.7319338174109657,1.387150728338981,2.3653135479225345,1.526545320238332,1.6350728412476396,1.4293875033238228,1.4559009235573563,201.0,225.0,278.0,244.0,215.0,236.0,258.0,276.0,246.0,217.0,291.0,208.0,236.0,215.0,240.0,269.0,117.0
image35.png,1.7129749497174995,1.581208799633105,1.5830752008153535,1.5045971170158774,1.622118450856553,1.5002836051165955,1.3828436243889362,1.4841695871816751,1.4917566554791237,1.7319338174109657,1.387150728338981,2.3653135479225345,1.526545320238332,1.6350728412476396,1.4293875033238228,1.4559009235573563,201.0,225.0,278.0,244.0,215.0,236.0,258.0,276.0,246.0,217.0,291.0,208.0,236.0,215.0,240.0,269.0,116.0
image36.png,1.7129749497174995,1.581208799633105,1.5830752008153535,1.5045971170158774,1.622118450856553,1.5002836051165955,1.3828436243889362,1.4841695871816751,1.4917566554791237,1.7319338174109657,1.387150728338981,2.3653135479225345,1.526545320238332,1.6350728412476396,1.4293875033238228,1.4559009235573563,201.0,225.0,278.0,244.0,215.0,236.0,258.0,276.0,246.0,217.0,291.0,208.0,236.0,215.0,240.0,269.0,114.0
image37.png,1.604650348790727,1.5998204531971782,1.476669619603405,1.436078433660953,1.7571816002806235,1.5252294205512587,1.4231392082715053,1.4926243286104697,1.438533923601871,1.6014228622357911,1.3799359674447547,2.50751418177249,1.4165978363542164,1.5021463594566753,1.4388805143218026,1.414015374682451,173.0,234.0,289.0,268.0,202.0,262.0,243.0,255.0,250.0,184.0,296.0,188.0,261.0,209.0,246.0,266.0,131.0
image38.png,1.604650348790727,1.5998204531971782,1.476669619603405,1.436078433660953,1.7571816002806235,1.5252294205512587,1.4231392082715053,1.4926243286104697,1.438533923601871,1.6014228622357911,1.3799359674447547,2.50751418177249,1.4165978363542164,1.5021463594566753,1.4388805143218026,1.414015374682451,173.0,234.0,289.0,268.0,202.0,262.0,243.0,255.0,250.0,184.0,296.0,188.0,261.0,209.0,246.0,266.0,129.0
image39.png,1.604650348790727,1.5998204531971782,1.476669619603405,1.436078433660953,1.7571816002806235,1.5252294205512587,1.4231392082715053,1.4926243286104697,1.438533923601871,1.6014228622357911,1.3799359674447547,2.50751418177249,1.4165978363542164,1.5021463594566753,1.4388805143218026,1.414015374682451,173.0,234.0,289.0,268.0,202.0,262.0,243.0,255.0,250.0,184.0,296.0,188.0,261.0,209.0,246.0,266.0,128.0
image40.png,1.7129749497174995,1.581208799633105,1.5830752008153535,1.5045971170158774,1.622118450856553,1.5002836051165955,1.3828436243889362,1.4841695871816751,1.4917566554791237,1.7319338174109657,1.387150728338981,2.3653135479225345,1.526545320238332,1.6350728412476396,1.4293875033238228,1.4559009235573563,201.0,225.0,278.0,244.0,215.0,236.0,258.0,276.0,246.0,217.0,291.0,208.0,236.0,215.0,240.0,269.0,114.0
